_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
699d9bd0d5fe59bad84f2046,,89.81,100,89.81,76.07,143;0;0;0,words,25,-1,0,19.11,0,0,false,false,english,,normal,false,true,false,,1771936720000
699d9bb9d5fe59bad84f1f59,,70.45,91.79,82.92,65.94,113;5;1;2,words,25,-1,0,19.25,0,0,false,false,english,,normal,false,true,false,,1771936697000
699d9b73d5fe59bad84f1c2f,,86.33,97.12,86.33,77.29,134;0;0;0,words,25,-1,0,18.63,0,0,false,false,english,,normal,false,false,false,,1771936627000
699d9a98d5fe59bad84f1254,,86.37,96.88,86.37,68.6,124;0;0;0,words,25,-1,0,17.23,0,0,false,false,english,,normal,false,false,false,,1771936408000
699d9a5ed5fe59bad84f0fba,,81.15,94.37,81.15,73.98,132;0;0;0,words,25,-1,0,19.52,0,0,false,false,english,,normal,false,false,false,,1771936350000
699d9a0bd5fe59bad84f0c35,,85.27,95.95,85.27,71.53,140;0;0;0,words,25,-1,1,19.7,0,10.02,false,false,english,,normal,false,false,false,,1771936267000
699d9994d5fe59bad84f0721,,92.77,100,92.77,73.64,125;0;0;0,words,25,-1,0,16.17,0,0,false,false,english,,normal,false,false,false,,1771936148000
699d980ed5fe59bad84ef632,,87.86,97.75,87.86,78.2,260;0;0;0,words,50,-1,0,35.51,0,0,false,false,english,,normal,false,false,false,,1771935758000
699d4e05d5fe59bad84c2883,,67.55,95.52,67.81,67.18,5453;0;1;0,custom,custom,-1,0,968.7,12,0,false,false,english,,normal,true,false,false,,1771916805000
699c2522d5fe59bad83ffe66,,63.94,95.26,64.15,65.3,5415;0;0;0,custom,custom,-1,0,1016.34,2,0,false,false,english,,normal,true,false,false,,1771840802000
699c0e3ed5fe59bad83f1ee7,,66.51,96.33,66.73,64.4,2435;0;0;0,custom,custom,-1,0,439.35,1,0,false,false,english,,normal,true,false,false,,1771834942000
699ae86dd5fe59bad83595ec,,66.54,94.7,66.8,57.53,2594;0;0;0,custom,custom,-1,0,467.79,26,0,false,false,english,,normal,true,false,false,,1771759725000
69982754d5fe59bad81e850c,,69.5,95.11,69.76,66.6,5827;0;0;0,custom,custom,-1,0,1006.11,3,0,false,false,english,,normal,true,false,false,,1771579220000
6996e971d5fe59bad811eed2,,67.21,95.82,67.43,63.19,5392;0;0;0,custom,custom,-1,0,962.78,18,0,false,false,english,,normal,true,false,false,,1771497841000
69957fdbd5fe59bad803ba4e,,68.34,95.29,68.63,68.56,6069;1;1;0,custom,custom,-1,0,1065.66,0,0,false,false,english,,normal,true,false,false,,1771405275000
6993065bd5fe59bad8ebf509,,76.53,93.82,76.53,73.88,252;0;0;0,words,50,-1,0,39.51,0,0,false,false,english,,normal,false,false,false,,1771243099000
698eadadd5fe59bad8c793fd,true,70.52,95.39,70.76,70.93,4755;0;0;0,custom,custom,-1,0,809.13,1,0,false,false,english,,normal,true,false,false,,1770958253000
698c4219d5fe59bad8ad1ca0,,77.52,93.47,77.52,70.74,270;0;0;0,words,50,-1,0,41.8,0,0,true,false,english,,normal,false,false,false,,1770799641000
698c417cd5fe59bad8ad16da,,78.87,95.95,78.87,70.21,284;0;0;0,words,50,-1,0,43.21,0,0,true,false,english,,normal,false,false,false,,1770799484000
698c413bd5fe59bad8ad1457,,89.77,96.25,89.77,76.12,257;0;0;0,words,50,-1,0,34.35,0,0,false,false,english,,normal,false,false,false,,1770799419000
698c4116d5fe59bad8ad12fe,,89.58,95.77,89.58,75,246;0;0;0,words,50,-1,0,32.96,0,0,false,false,english,,normal,false,false,false,,1770799382000
698aec6fd5fe59bad89e98c4,,67.11,93.3,67.41,66.09,4877;2;0;1,custom,custom,-1,0,872.09,0,0,false,false,english,,normal,true,false,false,,1770712175000
698ae852d5fe59bad89e7267,,68.92,94.56,69.32,62.75,5108;0;0;2,custom,custom,-1,0,889.41,30,0,false,false,english,,normal,true,false,false,,1770711122000
6989622ed5fe59bad88e8248,,65.63,94.79,65.88,67.04,2101;0;0;0,custom,custom,-1,0,384.15,3,0,false,false,english,,normal,true,false,false,,1770611246000
6985d443d5fe59bad86fda70,true,87.02,98.86,87.02,72.15,260;0;0;0,words,50,-1,0,35.85,0,0,true,false,english,,normal,false,false,false,,1770378307000
6985d3f7d5fe59bad86fd769,true,95.57,99.63,95.57,79.43,270;0;0;0,words,50,-1,0,33.9,0,0,false,false,english,,normal,false,false,false,,1770378231000
69857447d5fe59bad86c5e2a,,65.78,95.27,66.25,64.6,4741;0;0;2,custom,custom,-1,0,864.95,19,0,false,false,english,,normal,true,false,false,,1770353735000
69842076d5fe59bad85e1bb9,,66.52,95,66.8,64.63,5271;2;0;1,custom,custom,-1,0,950.82,22,0,false,false,english,,normal,true,false,false,,1770266742000
69830a7dd5fe59bad8522f5e,,67.2,94.78,67.43,67.27,4808;0;0;0,custom,custom,-1,0,858.53,2,0,false,false,english,,normal,true,false,false,,1770195581000
698180a4c89bd1e221d78476,,65.92,95.79,66.14,64.43,4649;0;0;0,custom,custom,-1,0,846.35,5,0,false,false,english,,normal,true,false,false,,1770094756000
69803750c89bd1e221c9f748,,64.83,94.18,65.07,62,4290;0;0;0,custom,custom,-1,0,794.06,8,0,false,false,english,,normal,true,false,false,,1770010448000
69802a36c89bd1e221c986e5,,65.89,95.43,66.11,65.09,4090;0;0;0,custom,custom,-1,0,744.89,2,0,false,false,english,,normal,true,false,false,,1770007094000
697b0ce1c89bd1e2219be4a6,,65.46,93.58,65.46,59.65,275;0;0;0,words,50,-1,0,50.41,0,0,true,false,english,,normal,false,false,false,,1769671905000
697b0c96c89bd1e2219be1e8,,70,91.72,70,71.3,284;0;0;0,words,50,-1,0,48.69,0,0,true,false,english,,normal,false,false,false,,1769671830000
697b0c5ec89bd1e2219bdfe2,,87.61,97.05,87.61,71.78,263;0;0;0,words,50,-1,0,36.02,0,0,false,false,english,,normal,false,false,false,,1769671774000
697b0c36c89bd1e2219bde84,,85.9,97.44,85.9,77.01,266;0;0;0,words,50,-1,0,37.16,0,0,false,false,english,,normal,false,false,false,,1769671734000
697b0c0ac89bd1e2219bdce6,true,91.44,98.84,91.44,81.61,255;0;0;0,words,50,-1,0,33.46,0,0,false,false,english,,normal,false,false,false,,1769671690000
697b0bdfc89bd1e2219bdb77,,89.54,97.75,89.54,76.38,259;0;0;0,words,50,-1,0,34.71,0,0,false,false,english,,normal,false,false,false,,1769671647000
697ae0c7c89bd1e2219a5a78,,67.27,94.59,67.49,66.99,4349;0;0;0,custom,custom,-1,0,775.78,1,0,false,false,english,,normal,true,false,false,,1769660615000
69799010c89bd1e2218cdc18,,62.88,94.78,63.34,64.5,4334;0;1;2,custom,custom,-1,0,827.12,2,0,false,false,english,,normal,true,false,false,,1769574416000
69788d5bc89bd1e221822224,true,69.48,96.18,70.08,69.09,2442;2;0;0,custom,custom,-1,0,421.77,0,0,false,false,english,,normal,true,false,false,,1769508187000
69784f00c89bd1e2217fd585,true,59.1,94.52,59.72,58.58,6912;0;0;0,custom,custom,-1,0,1403.41,21,0,false,false,english,,normal,true,false,false,,1769492224000
697217f2c89bd1e221465aaf,,63.5,95.17,63.75,60.02,3931;0;0;0,custom,custom,-1,0,742.92,15,0,false,false,english,,normal,false,false,false,,1769084914000
697213f0c89bd1e221463097,true,60.95,94.31,61.14,62.15,1930;0;0;0,custom,custom,-1,0,379.99,0,0,true,false,english,,normal,false,false,false,,1769083888000
696dfe3c428b69619ad74647,,74,97.37,74,67.56,185;0;0;0,time,30,-1,0,30,0,0,true,false,english,,normal,false,false,false,,1768816188000
696dfe1a428b69619ad744eb,,77.99,98,77.99,79.02,195;0;0;0,time,30,-1,0,30,0,0,true,false,english,,normal,false,false,false,,1768816154000
696dfdf5428b69619ad7435a,,71.62,95.31,71.62,69.65,179;0;0;0,time,30,-1,0,29.99,0,0,true,false,english,,normal,false,false,false,,1768816117000
696dfdcd428b69619ad74197,,80.82,96.65,80.82,78.24,202;0;0;0,time,30,-1,0,29.99,0,0,false,false,english,,normal,false,false,false,,1768816077000
696dfda3428b69619ad73fcb,,76.46,92.73,76.46,70.19,51;0;0;0,words,10,-1,0,8,1,0,false,false,english,,normal,false,false,false,,1768816035000
696dc056428b69619ad50561,,51.78,87.04,51.78,54.17,46;0;0;0,words,10,-1,1,10.66,0,776.58,false,false,english,,normal,false,false,false,,1768800342000
6968d1da428b69619aa8d2ad,true,71.38,95.41,71.6,67.66,5224;0;0;0,custom,custom,-1,0,878.19,4,0,false,false,english,,normal,false,false,false,,1768477146000
6967260787635c091f520f2b,,67.42,94.47,67.64,66.93,4308;0;0;0,custom,custom,-1,0,766.73,1,0,false,false,english,,normal,false,false,false,,1768367623000
696722b587635c091f51f4ab,,60.42,95.06,60.42,53.07,151;0;0;0,time,30,-1,0,29.99,0,0,false,false,english,wikipedia,normal,false,false,false,,1768366773000
6966289587635c091f476abe,,69.8,95.38,70.01,67.22,4831;0;0;0,custom,custom,-1,0,830.49,6,0,false,false,english,,normal,false,false,false,,1768302741000
6966077c87635c091f4622f1,true,70.55,94.45,70.98,66.91,4142;2;0;4,custom,custom,-1,0,704.48,0,0,false,false,english,,normal,false,false,false,,1768294268000
6965f4b187635c091f4579b7,,75.08,95.64,75.08,69.98,544;0;0;0,words,100,-1,0,86.95,0,0,true,false,english,,normal,false,false,false,,1768289457000
6965f45287635c091f457644,,82.47,95.68,82.47,66.81,264;0;0;0,words,50,-1,0,38.42,0,0,false,false,english,,normal,false,false,false,,1768289362000
6965d70487635c091f44763a,true,80.05,95.68,80.05,62.97,507;0;0;0,words,100,-1,1,76.01,2,274.85,false,false,english,,normal,false,false,false,,1768281860000
6965cf6a87635c091f443618,,57.44,97.08,57.44,48.26,133;0;0;0,words,25,-1,0,27.79,1,0,true,false,english,,normal,false,false,false,,1768279914000
69652eed87635c091f3e62a1,,72.88,93.51,72.88,73.8,142;0;0;0,words,25,-1,0,23.38,0,0,true,false,english,,normal,false,false,false,,1768238829000
69652ed387635c091f3e611c,,70.63,96.35,70.63,56.74,130;0;0;0,words,25,-1,0,22.09,0,0,true,false,english,,normal,false,false,false,,1768238803000
69652eb687635c091f3e5f60,true,99.1,98.44,99.1,72.4,126;0;0;0,words,25,-1,0,15.26,0,0,false,false,english,,normal,false,false,false,,1768238774000
69652dfb87635c091f3e54b4,,83.26,95.74,83.26,59.78,132;0;0;0,words,25,-1,0,19.02,0,0,false,false,english,,normal,false,false,false,,1768238587000
69652db287635c091f3e507a,true,89.81,96.97,89.81,68.53,126;0;0;0,words,25,-1,0,16.84,0,0,false,false,english,,normal,false,false,false,,1768238513000
69652c9e87635c091f3e409f,,79.47,95.24,79.47,69.61,119;0;0;0,words,25,-1,0,17.97,0,0,false,false,english,,normal,false,false,false,,1768238238000
69652c8787635c091f3e3f44,true,81.75,96.5,81.75,61.21,136;0;0;0,words,25,-1,1,19.96,1,0.5,false,false,english,,normal,false,false,false,,1768238215000
6964a5f587635c091f37cd71,,83.22,94.98,83.22,79.95,208;0;0;0,time,30,-1,1,29.99,0,1.18,false,false,english,,normal,false,false,false,,1768203765000
